npm;cargo;Go;maven;pypi;rubygems
74;1344;2914;887;837;1141
74;1344;2911;861;835;1133
74;1327;2881;854;831;1131
74;1299;2873;852;830;1129
73;1296;2872;833;828;1127
72;1287;2846;833;827;1125
72;1283;2811;827;823;1118
71;1279;2800;821;823;1117
71;1266;2800;815;822;1114
71;1261;2796;814;822;1114
71;1261;2776;813;815;1108
71;1257;2769;790;813;1088
69;1255;2739;786;812;1081
68;1237;2735;783;811;1076
68;1232;2705;778;811;1068
67;1207;2668;776;806;1065
66;1196;2665;775;804;1062
65;1190;2651;767;800;1057
65;1186;2640;765;796;1056
64;1172;2626;758;782;1056
63;1168;2620;758;781;1046
63;1162;2610;756;779;1043
62;1156;2606;752;773;1041
61;1156;2605;748;771;1036
61;1155;2602;748;761;1032
60;1145;2602;745;757;1018
59;1145;2585;744;757;1016
59;1136;2578;743;757;1014
59;1136;2575;729;756;1012
59;1134;2571;717;754;1011
59;1122;2551;713;749;1009
59;1121;2551;710;746;1007
59;1118;2547;702;740;1006
58;1105;2540;698;739;1003
58;1099;2523;692;738;991
58;1092;2501;688;735;985
58;1079;2468;684;734;985
58;1078;2440;665;732;983
58;1078;2423;665;732;983
57;1077;2423;659;730;982
56;1073;2421;653;727;975
54;1071;2413;644;725;975
54;1071;2402;641;725;973
54;1062;2391;639;723;971
54;1056;2389;634;718;971
53;1050;2362;631;712;970
53;1050;2336;623;710;967
53;1050;2328;618;710;967
53;1030;2319;616;708;966
53;1021;2319;614;694;966
53;1021;2297;612;691;965
53;1018;2279;604;690;964
52;1017;2279;593;690;962
52;1010;2265;591;684;962
52;1007;2264;591;684;954
51;1004;2245;588;683;950
51;987;2234;586;683;949
51;984;2226;581;682;948
51;979;2215;581;680;947
50;978;2192;580;679;945
50;978;2191;577;669;944
49;969;2181;570;669;942
49;966;2180;566;663;938
48;961;2164;561;663;930
47;950;2152;561;662;924
47;948;2151;559;662;923
47;945;2150;555;661;921
47;945;2144;551;658;917
47;942;2143;548;650;914
47;938;2123;547;646;913
46;932;2122;541;645;912
46;929;2116;527;643;903
45;923;2114;527;642;901
45;916;2113;526;637;894
44;907;2110;523;632;893
44;905;2105;521;632;886
44;905;2105;516;631;885
44;902;2101;502;630;882
44;892;2097;496;629;882
44;886;2093;492;628;882
43;884;2093;478;625;880
43;879;2089;477;622;879
43;868;2087;477;620;878
43;865;2080;462;617;876
43;863;2074;461;615;876
43;857;2071;460;614;874
42;855;2059;459;611;870
42;848;2058;456;609;870
41;848;2056;454;605;869
41;842;2039;450;602;866
41;833;2038;448;595;865
41;827;2034;445;594;863
41;826;2022;440;593;859
40;811;2021;430;592;857
40;811;2004;428;590;852
40;807;1987;425;587;848
40;802;1980;419;585;846
40;801;1980;415;585;845
39;791;1977;411;584;845
39;790;1976;407;583;844
38;785;1975;404;580;844
38;782;1962;403;575;844
38;781;1959;403;571;842
38;772;1940;400;571;836
37;769;1936;400;570;835
37;766;1933;399;569;832
36;766;1931;399;562;828
36;765;1928;397;559;827
36;758;1923;397;559;827
36;753;1920;396;555;825
36;753;1898;395;555;823
36;748;1894;390;553;823
35;745;1881;390;552;821
35;743;1881;390;548;819
35;742;1875;384;545;816
35;741;1869;377;541;812
34;739;1865;372;538;811
34;736;1863;370;534;810
34;734;1857;369;530;807
34;734;1855;365;530;806
34;728;1843;363;528;805
34;727;1837;357;527;805
34;727;1836;352;527;797
34;725;1831;350;526;797
34;723;1817;346;523;794
34;723;1810;345;522;790
34;718;1793;343;518;789
33;710;1791;342;517;786
33;709;1790;339;516;786
33;707;1786;336;515;785
32;705;1778;334;514;781
32;705;1776;332;510;780
32;702;1771;330;510;776
32;692;1768;329;505;773
32;692;1754;321;504;771
31;685;1746;321;499;771
31;684;1737;316;499;771
31;684;1732;308;499;767
31;683;1731;296;497;767
31;679;1706;296;497;764
31;677;1704;296;495;761
31;673;1701;292;495;758
31;670;1696;291;494;758
31;669;1693;291;493;758
30;666;1693;290;492;757
30;666;1684;290;491;754
30;664;1670;289;488;752
30;663;1662;284;485;752
30;663;1659;281;485;751
30;653;1658;270;484;751
30;651;1658;270;483;750
30;646;1655;266;482;748
30;646;1650;258;481;742
30;646;1646;256;480;742
30;645;1641;254;470;742
29;644;1633;253;469;741
29;644;1632;245;469;740
29;643;1621;244;469;739
29;638;1618;242;467;738
29;637;1609;239;467;736
29;637;1604;234;467;735
29;632;1597;233;464;734
29;632;1593;233;463;733
29;623;1588;231;462;731
29;622;1586;229;457;729
28;619;1579;227;456;728
28;618;1556;226;455;719
28;617;1546;220;454;716
28;609;1524;217;453;716
28;609;1521;214;450;714
28;609;1519;213;447;714
28;607;1516;213;445;713
27;607;1511;207;441;711
27;606;1505;206;440;711
27;603;1497;205;437;709
27;600;1495;204;435;708
27;599;1481;203;430;707
27;599;1480;202;430;706
27;598;1478;199;429;705
27;593;1456;199;428;704
27;591;1448;197;426;703
27;590;1445;195;426;698
26;583;1436;193;423;697
26;583;1429;191;420;694
26;582;1421;189;418;691
26;582;1419;185;417;690
26;579;1414;183;416;688
26;579;1410;180;410;687
26;579;1409;180;410;686
26;577;1395;177;409;685
26;571;1388;173;407;685
25;565;1385;173;407;680
25;564;1367;172;405;678
25;559;1365;170;401;677
25;558;1364;170;400;676
25;554;1351;169;399;672
25;553;1351;165;399;671
24;545;1345;161;399;670
24;542;1345;161;396;669
24;542;1342;159;395;664
24;541;1335;158;395;664
24;540;1335;158;393;662
24;539;1331;157;389;661
24;538;1326;153;389;660
24;537;1325;153;389;658
24;535;1311;152;389;658
23;532;1307;146;388;655
23;529;1306;146;388;653
23;529;1306;142;385;652
23;520;1300;141;384;650
23;520;1298;140;384;649
23;510;1295;131;384;647
23;508;1293;131;384;646
23;506;1288;130;384;644
23;506;1287;129;383;640
23;505;1283;127;382;637
23;504;1282;127;381;636
22;503;1278;126;378;635
22;502;1275;125;377;633
22;501;1275;123;376;632
22;500;1257;122;376;627
22;496;1255;121;374;625
22;496;1255;119;374;624
22;491;1238;119;373;622
22;491;1237;117;373;618
22;489;1235;116;371;616
22;488;1234;116;371;616
22;488;1229;116;370;610
21;486;1190;115;370;609
21;485;1186;113;370;606
21;482;1181;113;368;605
20;482;1178;113;367;604
20;479;1178;112;367;600
20;476;1177;112;366;599
20;475;1177;112;364;598
20;470;1164;111;363;596
20;468;1161;111;362;595
